,m.DMS153,m.NCIH60,m.NCIH69,m.NCIH82,m.NCIH128,m.NCIH146,m.NCIH187,m.NCIH209,m.NCIH211,m.NCIH250,m.NCIH345,m.NCIH378,m.NCIH446,m.NCIH510,m.NCIH524,m.NCIH526,m.NCIH711,m.NCIH735,m.NCIH738,m.NCIH740,m.NCIH748,m.NCIH774,m.NCIH841,m.NCIH865,m.NCIH889,m.NCIH1048,m.NCIH1092,m.NCIH1184,m.NCIH1238,m.NCIH1339,m.NCIH1417,m.NCIH1436,m.NCIH1450,m.NCIH1514,m.NCIH1522,m.NCIH1607,m.NCIH1628,m.NCIH1672,m.NCIH1688,m.NCIH1694,m.NCIH1836,m.NCIH1870,m.NCIH1876,m.NCIH1882,m.NCIH1926,m.NCIH1930,m.NCIH1963,m.NCIH1994,m.NCIH2029,m.NCIH2081,m.NCIH2107,m.NCIH2108,m.NCIH2141,m.NCIH2171,m.NCIH2195,m.NCIH2196,m.NCIH2198,m.NCIH2227,m.NCIH2679,m.NCIH3282,m.HCC33,m.HCC970,m.HCC2433,m.HCC4000,m.HCC4001,m.HCC4003,m.HCC4004,m.HCC4005,m.SHP77,m.HCC4002,c.COLO668,c.CORL24,c.CORL279,c.CORL311,c.CORL47,c.CORL88,c.CORL95,c.DMS114,c.DMS153,c.DMS273,c.DMS454,c.DMS53,c.DMS79,c.HCC33,c.NCIH1048,c.NCIH1092,c.NCIH1105,c.NCIH1184,c.NCIH1339,c.NCIH1341,c.NCIH1436,c.NCIH146,c.NCIH1618,c.NCIH1694,c.NCIH1836,c.NCIH1876,c.NCIH1930,c.NCIH1963,c.NCIH196,c.NCIH2029,c.NCIH2066,c.NCIH2081,c.NCIH209,c.NCIH211,c.NCIH2171,c.NCIH2196,c.NCIH2227,c.NCIH2286,c.NCIH446,c.NCIH510,c.NCIH524,c.NCIH526,c.NCIH69,c.NCIH82,c.NCIH841,c.NCIH889,c.SBC5,c.SCLC21H,c.SHP77,c.SW1271
A1BG,2.95519897563635,3.23972701094422,3.59977017039035,3.05523119801605,4.57950661796527,4.68508092965942,3.21594745482458,4.18175204872244,1.28883541609643,4.80446785934724,4.37632086132853,4.39064888993741,5.14436417423252,4.1144207195934,3.96197364850889,2.76351353871249,2.85234945919199,3.66614748982086,3.7006343757784,4.97794670217966,3.81979760462963,3.21460044314712,3.27907939437177,3.43540701625742,4.61505117031819,2.45805781912647,4.23967689715777,4.57516315653168,3.70876010246551,3.22158194862278,3.25469502587523,4.50571607120264,1.480202257072,3.54201651876698,2.87991732992063,2.57141199113733,4.99591698686472,3.70968744641891,0.816374488357957,5.75550529509484,4.60287970712852,3.9094274644277,4.29062368155903,3.00114871267535,3.39709844798228,3.79660565017425,3.26972964312385,5.5207469955249,4.87020597698539,2.47598620132169,4.33464747507743,3.30257231849122,3.29180815112723,4.22114397833689,2.40781742095956,3.55854566062161,4.22239447224282,3.88065392817594,3.26942113445469,4.16782836324935,3.09585116258913,3.41564707750188,4.31169613671176,4.17005798734662,4.68048752508406,3.07018545441779,4.01913318209692,2.98283771036497,3.32825259805767,4.98889273028903,1.89114854134173,4.52409737840012,-0.760590736841393,1.75963844765247,5.18911486812927,2.67748687452657,5.26848897763471,4.87381648391469,2.99667171718427,3.55915546750701,1.96324829932667,1.45166711637873,4.06817307032456,3.54878557902142,2.37440380301677,3.67059431679099,1.66222870268998,4.15207119099604,5.13784763176836,3.62459329951939,4.91605215989868,4.88888877541437,4.69526368210266,4.96162859438657,5.16845710059941,3.93214495025724,4.31689634421016,3.37605316521759,3.4962330070284,3.11407785102598,3.39258958787161,4.04430198636493,4.21022516059167,-0.243118778190636,4.54789995707318,2.77586653122033,4.76588944739013,2.2112201575333,5.27325934383911,4.73128618997114,4.18314641930074,3.40594220270302,4.25603388450705,3.90537060516255,4.4362369254794,5.07335850586242,4.42378258237986,3.71334474615014,3.43864428243282,4.20963747464164
A1CF,0.077211933403023,0.167166221327074,0.117398456074029,0.536178723187549,0.0881600289110552,0.0749922569536237,0.0807274357321449,0.0792039752672075,0.107217139706731,0.0903483561881233,0.108039774147576,0.0944034902248587,0.146582318023088,0.100764050770681,0.0982742475750483,0.10796107022137,0.0397335504673104,0.144999355156952,0.066316662473748,0.103030690936152,0.0999514449275572,0.108644999387294,0.156508506519535,0.0695535605039509,0.118026796036428,0.120683135207617,0.0693766086925643,1.22126266727809,0.123683828515268,0.0951455049532892,0.03445762014437,0.0792869438479867,0.128798592513016,0.0641453082799248,0.0755531498399296,0.122908347392594,0.125304657701247,0.0291763825160162,2.27079107177427,0.177594664782894,0.0456385852260339,0.0577749315489742,0.10217270116573,0.0764854466466794,0.0616282843694428,0.0932190616250904,0.112251798189074,0.127793687426031,0.0800704147260219,0.117249863831447,0.0983184920870749,0.0529727359624124,0.0595617084709279,0.0746046448817601,0.112241076257171,0.0814500040128082,0.113454634327873,0.0323419654333792,0.498017728330581,0.0884329474223633,0.0642148169920995,0.113194085139827,0.110095366518615,0.103419298315201,0.12298131986814,0.105286092159641,0.19120684622025,0.0910548006472817,0.476278282782989,0.104553805008243,2.2081073830065,0.321920141294845,-0.127574858389558,-0.0599146466110445,-0.117765340638031,-0.108498699184183,-0.109470281969537,-0.130215131026865,-0.0894773436854407,0.0322261623183524,3.15062208545544,2.90910668776594,-0.128480115176277,-0.11882056696273,-0.0339568709911021,-0.172451357609058,-0.255221356348489,3.27218531549077,-0.0459434776117063,-0.0713589823232171,-0.185949462673565,-0.0366832333685342,-0.172163512100777,-0.160423339690163,-0.208404076861373,-0.149985570605665,-0.188141044876503,-0.15425148129052,-0.0969545176406788,-0.126832599724904,5.03125606374658,-0.023427330869675,-0.154753002305989,0.0464669410324196,-0.0888673145841852,-0.158876497081732,-0.22020738325446,-0.0780739532836729,-0.041274529069272,-0.12233656888134,-0.0575673136255231,0.623161703929609,-0.107734005997767,-0.0167823465563198,0.183739948948374,0.242981351326865,0.0083494016836229,0.0034936176023713,-0.0738335873445432,-0.0016995780705673
A2M,2.2675021291562,0.122302456017882,0.0858912727498242,1.5864794236167,0.064499801292591,0.23118874457511,0.059061953902454,0.0723026499530108,0.189473711871407,0.066100829289944,0.135627785160403,0.0690676538567569,0.107242823105642,0.395649273662186,0.182930896804314,0.0933419682609367,0.0434252257056116,0.13465384512051,0.048518717663535,0.189204991538543,0.383466779216573,0.845021799151765,0.252008563004117,0.134951167697991,0.100706272957252,0.225797939443826,0.0651127340793053,0.171312125654511,0.241049464984937,0.0981796802237284,0.0395652399312588,0.0580080586004738,0.0942318613828538,0.0469301075443309,0.0552763334120654,0.490460359078633,0.091675622417509,0.506772905409602,0.165509249023459,0.0684288819884918,0.0333901850386647,0.243903262060632,0.0747517781484126,1.92780207061309,0.142699394542409,0.994200518598582,0.0821258655125441,0.0934966508886077,0.18290939799673,0.100137852399114,0.0719319546662296,0.0531113027663549,0.0435766458844745,0.0689376794600947,0.0964733140902215,0.381518695514401,0.246504618967131,0.435088333518762,0.504277755589684,0.215259151007442,0.144591758261646,0.0828152632116474,0.080548173037125,0.0756638158306365,0.253474550033558,0.387369723563185,0.186003529944795,0.541702562423587,1.81425911620531,0.119138183096994,0.101549117890589,-0.127137598340161,-0.0894839034666022,0.346200420798663,-0.0020954287158315,0.0035503743155376,1.38967162886205,0.591792456463572,1.69678253190742,0.0379326566829463,0.310954663738322,0.098319410532979,-0.0243652883431627,-0.103775955121525,0.789226101925529,-0.14707099235746,-0.172370221674376,-0.108424329939083,0.30255828670182,6.73370425589464,-0.146547330995791,-0.068235998483778,-0.153001034359036,-0.148568744629449,0.146185344398795,0.444030255763994,0.274082260315096,-0.0736639504286576,0.120197174323686,-0.0927934981501941,0.489582821871315,-0.0654567862679208,-0.0705541535877833,0.147520454513076,0.140589447596063,-0.116237512832186,0.489656031380326,0.146501551469201,0.294746935934589,0.512524431778823,-0.0382648557639511,-0.0065524285880184,0.0405395984490627,0.22133097215574,1.27642809145275,0.0398516359813345,0.681200602327272,0.0323543878135236,1.63591880852684,0.303401993243362
A2ML1,0.0110106010634529,-0.007241361329267,-0.0050855049135003,-0.0044712882587211,-0.0038189451138846,0.0111067537375791,-0.0034969775991877,-0.0034309838379489,-0.0046444673041203,-0.003913739794258,-0.0046801024532597,0.0244797507732346,-0.0063497010392422,-0.0043649302762156,0.197376785006755,-0.0046766931307114,0.0548623373653129,-0.0062811297334275,-0.0028727269858176,-0.0038412700397282,-0.0043297295491691,0.0238628323976168,-0.0067796869356425,0.0255562081979909,0.0092425694265194,-0.0052277917240066,0.0113500142350264,0.108249454492493,0.0089975162339218,1.92566945345713,0.109538665871815,-0.0034345778982059,0.935526971175014,0.025790484645727,-0.0032728361819265,0.208800621155901,0.0511555400117136,0.0130914208478676,-0.005631920575887,-0.0040515806139166,0.0123783057391302,-0.0025027134776302,-0.0044259506571047,0.0252559304752886,-0.0026696342818492,0.0663512339353126,-0.00486256029534,-0.0055358089625097,-0.003468516547257,0.0092762248311816,0.133244530988723,0.0120606025865207,0.0117751793093539,-0.0032317485323393,0.0094931971379009,-0.0035282780495049,-0.0049146651466179,0.63086721560885,0.120105473034811,0.197803093681974,-0.002781678552288,0.023665773605533,-0.0047691472793388,0.184553873227788,-0.0053273452426309,-0.0045608175516676,0.0091216800008409,-0.0039443417875747,0.0086611079439258,-0.004529096096113,0.0036679520316235,0.0075276435003211,0.0205034699317457,0.0032172496583989,0.0051013977396525,0.0071510862017685,0.0757532448530563,0.0199959948295002,0.0075175324455233,-0.0013959834932573,0.0860698881767797,0.0038591785917902,0.0080166477483566,0.0069943898071363,0.0206359387677843,0.023063165503837,0.0254110555922277,0.0224664898916697,0.0038374760931899,0.0049384332813149,0.0086768672529769,0.0183954532221931,0.147412463246642,0.0231518453696086,0.009027716311735,0.0083444056800491,0.896297073672887,0.0085291978014609,0.0048217549680586,0.0054941762495266,0.103825673956459,0.0207558128204839,0.0235100382869971,0.0039435526173042,0.0050871514737986,0.0068822643292633,0.696599704158154,0.205637741644141,0.0179905180224399,0.0065369836340448,0.0031155671164755,0.0061673622554995,0.0065141385146867,0.017533380065092,0.0156715141754435,0.11445115337906,0.0435202232082143,0.0046583532144387,0.0038201949087716,0.0316919231235646
A4GALT,2.45351197271028,1.52829746383242,1.42871113782524,0.359364700220862,0.865621449049535,0.867495224498345,2.45518167980218,1.03761836199481,0.265048173276353,3.13207057868212,1.96204674456114,0.65836910781677,1.56531523766233,1.91970208648755,0.769141916780459,0.440843513559995,0.047440819682851,3.05436866845716,0.0600666143734978,0.496292759280022,0.903462183689429,0.373529632589089,3.35529088647917,2.36931823249488,0.056057473421092,0.141383381052437,0.928253421731452,0.744196960375386,2.01107787836027,1.05954517183652,0.0590101728819986,0.336316083941336,2.70733625433191,0.431004095189714,1.81829294738341,0.309337566515898,0.781980158163737,0.414395412310875,3.01221852343551,2.11824300920209,0.735372110940518,3.83685496451159,0.347185799765571,1.02182761223714,0.339610811921616,0.868024264354425,0.203874283128894,0.274821117350142,0.769213123735013,0.631000795901128,1.63646039346774,0.489827958175091,1.15922002959059,0.792457131336956,3.99629311230031,3.92913181833295,3.49483809819735,1.05800533108579,3.59350158924273,1.4588414547963,0.505584062098438,0.776228175374452,2.41966146316553,0.359459682959188,0.114994180026108,1.53543303348146,1.2590168034333,0.656778629355146,2.52186441458143,3.63822313991797,1.60132947493794,4.71603360510037,0.646285311846813,2.61778510238806,0.0144560341442332,0.407020118744865,3.69072263243451,1.50861654112396,2.56373811941583,0.204339816743374,0.367576540105943,1.39064618630932,3.03973628830114,0.498623689724622,-0.0122794036891597,0.143311067106428,0.15378826599889,0.162027915971302,2.51128523523778,3.04177791869214,0.337823566152891,0.511518595586994,3.00905038254374,1.97050213812222,1.01204865428204,1.70344503261412,0.498371804452643,0.284994875412524,3.85017106571735,0.0903198384473313,1.56412638907387,0.870929042909965,0.855681209301884,-0.014669171534893,2.0418337033195,4.54160408114884,0.652434543361565,1.14513404747839,2.52573945044708,2.35861177397154,0.569911287614369,1.45844795513239,0.513539482629549,0.191663005558201,3.1279819838523,0.0868319466158083,2.64116107783099,0.764499811547739,0.861152478236135,1.86879924926657
AAAS,4.69351804246919,5.88931606994622,6.00226581442577,5.98135386017731,5.22229096234155,5.91884331189545,5.44984681565046,4.68352985125743,5.29522855774033,5.38575755475199,5.0550302168278,5.29079876782275,6.00721169765189,5.36804518934614,6.07942034838098,6.00675944874235,5.49403239368131,5.41183791706087,5.6998275390506,4.36707330459939,5.21200098616503,5.38230393202538,5.47157256106184,5.48502813392576,5.30231784598223,5.6626993570799,4.70746167585508,4.53060784596122,5.20681659505884,5.2204051766602,5.65097379693096,5.58372310973255,6.45278327810956,5.47734686062539,5.73594017886457,5.18617130110333,4.97674207734328,5.38761571558702,4.94777079896412,5.33906336923112,5.50842288129408,5.50362004516356,4.52268713318094,5.24318490494257,5.54691739377742,4.69061708678986,4.70443109265759,5.63420448530383,4.98132359846112,4.80808536383587,5.17840683138942,4.95266575153378,5.34150630693658,5.82256828249579,5.12033614106447,5.41707797830655,5.57480366810022,5.38964882724211,6.18154754304565,5.39617759916464,5.74181639591133,5.98087765245259,5.73025957961787,5.56495899279587,5.518419777242,5.49567697118627,5.60419043855715,4.54857111914274,5.13360595779206,5.54208569708627,4.85210704708229,5.31506602392225,5.4108378454219,6.08840362113256,5.42325217977727,5.04621726014908,5.7136665405977,5.77692692257338,4.63732173367201,5.76776062790867,5.54529406155497,5.52428861848196,4.98602624173657,5.22912158421437,5.84193204590855,4.93181021342265,4.68654905050814,5.65033665609042,5.35435100776475,5.61985365755765,5.35282061885867,6.37425865651735,5.12383399401033,5.20047821086475,5.46712174767853,5.30761738230848,4.87374949697084,4.78486448436661,5.50150939680438,5.63119757423293,5.22191995354484,5.7665412785493,5.39280377957921,5.72460549244602,5.78258288836951,5.50696133995879,5.48725836504198,5.98703103606934,5.9344558404488,5.42851686016876,5.8355311289467,5.83163180995559,5.64751819969374,6.19262180225087,5.98234371201716,5.28293738744372,6.10191640211107,5.7046750696802,5.75145162755134,6.24472068857756
AACS,5.60491149506412,4.34532107556552,4.46001196899948,4.85938100303327,5.88425287606851,5.32497170479539,5.41694293670092,5.8891565864878,3.94595271052926,5.1410853981261,5.35987680861219,4.1578138438659,3.45912247023631,5.60003275847206,5.02381762372279,5.63557301429619,4.47967608258394,5.35705759558899,4.59327282032939,4.5014891265631,5.8051875256222,5.45558384401553,4.65805172909364,5.96475461689529,5.47211199643278,4.38668268812313,5.17514013490508,5.28301994347806,5.30492169539174,4.38579825300083,4.58018948287702,5.61948146319918,6.08898328652203,4.94855460964025,4.30882411569524,4.98043563319943,5.64384407712793,4.3727012233463,5.56990452037822,4.38834169036612,5.22544626053161,3.74360988572759,4.49760404245628,3.67746923417683,4.67792779549436,4.52501978106756,4.48637403798994,5.74489869818347,5.54161526596233,4.78755586877935,4.59604288691919,4.39231001263288,4.77645556903814,4.19621705800434,4.59478138110534,4.73638403069809,4.75456018338512,4.45078120694466,5.21341507000779,5.41311900650482,3.14490659433797,5.66300208886821,5.18009610650658,5.25735686935789,4.14266958018782,4.47103187329934,5.78692252692193,3.00221448803801,5.39747643085979,5.62191836920306,7.03989496140228,4.03852828807993,5.28895311082956,5.45938803492283,4.89046622766671,5.16684035871414,6.16091648487683,4.04537343293446,5.47333442164416,4.02543480419337,6.19443921564249,6.35634052675833,5.13615638594238,3.13382088415932,4.28231317735961,5.37306795057162,4.89122412805479,4.89952763685326,3.68213333906767,3.10226000525171,5.57842638106599,4.95730605273836,4.56054939120581,4.2129544599573,5.47272088057402,4.22209576639685,4.73062289498874,4.59886876885772,3.19224520983798,6.06175463036999,5.1703257664753,5.36650127318215,5.82425809866,3.61677443876198,4.09146450086687,5.07512112822091,4.63811798387647,4.25285283231761,3.70328637993303,5.79413708042435,4.70363091665876,5.402808481262,4.51218142266676,4.62030096756933,5.01004932946979,5.71291283265458,4.18813824325868,5.19104481717311,5.5734401727389,3.88518295575637
AADAC,0.0235280174403863,0.0509388846708102,0.0357736531161131,0.031452986059459,0.026864120691518,0.0514207899130427,0.0245992611777962,0.024135032362262,0.0326712027758849,0.0275309476970197,0.0329218759117362,0.0287666279880624,0.0446665584307779,0.03070481775818,0.0299461250221206,0.032897893254305,0.0121076060028662,0.072753350242561,0.0202080108929051,0.0270211639284348,0.030457200536249,0.130717096750425,0.0476912662158031,0.0211943583388348,0.0359651208458054,0.0367745604180678,0.0211404375895294,0.0195687982002788,0.0376889315698323,0.0575618868849519,0.0104999247134408,0.238285119897922,0.0392475022627111,0.019546355924691,0.0230225529754755,0.276239486578436,0.0381828305783772,0.0088906261821094,0.123681643295854,0.0285005799659052,0.0424761401690555,0.0176051749670105,0.128744858279961,0.0233066424233375,0.0187793684934273,0.0284057089497217,0.034205363719125,0.136552084248851,0.02439905376154,0.0357283740935465,0.02995960720816,0.0161418501086235,0.0181496415634157,0.0227335245803229,0.0342020965324389,0.0952087700484811,0.034571891902066,0.0098552424895388,0.127314837231517,0.0269472844100114,0.0195675366168486,0.0344924973632916,0.0335482559416685,0.0600830768867761,0.037474863161321,0.0320827740400187,0.0368155096377126,0.0277462154260246,0.0400553737769285,0.031859631526807,-0.0258019696879075,0.0174366099326817,-0.0432489503823246,-0.0226315331958412,0.0345038777247514,-0.0217346979688967,0.112827552038327,-0.039679149825334,-0.0528815924022322,0.0098199549686866,0.136451249468306,-0.0271471404716056,-0.0563925864946972,-0.0492015795826156,-0.0298255008052209,-0.0612549621818134,-0.0492018899034543,-0.0284885342502669,0.0973336593436066,-0.0347390872976716,0.403631409400861,0.04196908376601,-0.0697037895613297,-0.0618787749222307,0.138128978712582,-0.030129026122899,-0.0617046764489734,0.318513536790736,1.69291289573065,-0.0386484250143158,0.550830399721471,-0.0450240399991047,-0.0643984596719766,-0.0277406640591519,-0.0357852357372973,0.273515254676575,-0.0671015855369049,0.173468824728025,0.0310117745318882,-0.0459839856469759,-0.0219162539768444,-0.0433839081315115,0.0245660447487385,-0.0223560466450203,0.0050964206771556,-0.0240566487262753,0.0081939313617555,0.0238146460586795,0.0297106160741102,2.18904526477414
AADACL2,-0.0102706016352306,-0.0222361698567434,-0.0156161453519601,-0.013730059953996,-0.0117268989026561,-0.0099753440038501,-0.010738227847641,-0.0105355796966004,0.963933785924303,-0.0120179865198118,-0.0143712692083242,-0.0125573936351781,-0.0194981336282001,-0.013403464710771,-0.0130722752735244,0.0560285277470846,2.89195513545944,0.0092815816290317,-0.0088213310045056,0.0025598405496656,-0.0132953732470121,-0.0144517752526981,-0.0208184985421451,-0.0092518977412372,-0.0156997260779033,0.0949782445379708,-0.0092283599086344,0.0058129952120959,-0.0164522150322267,0.843333602121,-0.0045834947294179,0.0320977213706976,-0.0171325723444169,-0.0085325011183617,-0.0100499530330687,-0.0163490618363981,-0.016667815006923,-0.0038809933746249,-0.0172940331038264,-0.0124412566398558,0.0365735694922772,0.0066701686667519,-0.0135908410192405,-0.0101739655876818,-0.0081976908273673,-0.012399842933137,0.0554577823229101,0.221787958028739,-0.010650832017457,-0.0012410868844745,-0.0130781606041662,-0.0070463443229475,0.0064324946030729,-0.0099237844973897,-0.000574826378053,0.0035209503109305,-0.0150915448104389,0.0660872539965144,3.88427382654942,-0.0117632020644212,-0.0085417470504536,-0.0150568869952689,-0.0146447006513261,0.0005986316997742,-0.0163587685124731,-0.0140049790575445,-0.016070943267744,-0.012111956574668,-0.0174852296184945,-0.0139075714511923,0.0112632419089385,0.0796987896940457,0.0188793102370048,1.46405515574747,0.0156649477201551,0.0219589605065093,0.0308263628814044,0.0173209979171941,0.0230842131418894,-0.0042866699591169,0.0347278536208752,0.0118504445190062,0.0246168548852374,0.0214777902557032,0.0896754124081194,0.0267394104218326,0.033949115950462,0.0249071885980294,0.0117838022920477,0.0151645300208528,0.0409994949839238,0.0124061879215894,0.0589966991358305,0.0270117211750884,0.58353771516594,0.0541924588677458,0.0835192509551468,0.240315556294735,0.0148062439646552,0.0595153966958675,0.019084128199899,0.0196541837837019,0.028111630182576,0.0961737980447382,0.0156212014723229,0.0211334846675847,0.0292916160865694,0.0122947830205681,0.0255180395796502,0.0200732254375828,0.009567024272361,0.64186857378265,0.0200030745458725,0.0097590053990485,0.0040417425405619,0.010501363167223,0.0026895972362241,0.0143044834553853,0.0117307366688069,0.0381582973304681
AADAT,2.94173753223024,3.55874327479848,3.88887484857193,3.64041649869583,3.00306547173432,2.23792184323747,2.17183606030261,3.89856014250422,3.52062351680204,2.80641065879152,2.99692361171401,2.94559431600594,3.47803656306296,3.71988432017916,3.03963345236325,3.78888482647168,2.31537251587404,2.35205046969597,3.48287096515375,4.12759466041995,3.07944368863812,3.42637837386165,3.10245146002957,2.10313337099271,3.21157446327848,4.88564332501306,3.0518919316802,2.99937021029837,1.26449258454941,3.16727887445004,3.68711515207162,3.27355853454004,3.65297436819493,3.52147368022424,3.33655565912266,3.80943686011006,3.41804240754029,3.08742827446993,2.83858217530333,2.30246712596702,2.89944546783894,5.0920971777743,3.94517641967898,3.78922738731714,3.11972917305786,3.25594469019209,4.195510751396,2.59016893925751,2.49256040560726,3.63649775431529,2.82447508488448,3.03988290418341,2.63255724525826,1.81738114714247,2.29132453516169,2.68176072491841,1.86771394838752,3.69281505081271,3.72774933873189,2.80623399982844,3.6719491335724,2.10631752491486,3.52956605558052,3.06651761017081,2.75061016761773,2.41375073867445,2.8883212342645,3.75718945014737,3.60417741045516,1.70783367020938,2.13314549232557,2.48336439716555,2.5499024561543,3.21705329032553,3.84905852263007,3.55046869645129,1.61012583359127,2.97333715111386,2.95547526647874,2.03037440564055,2.03608871304717,2.53233671142325,2.93538284077047,4.48369242937473,4.36669084921144,3.27890192523008,3.57815248355595,3.90741215351478,2.59071297249418,2.84756919631169,3.77785674235054,2.33985149088802,3.5664170421472,2.83809315317426,2.62369433665519,4.19841479194532,3.36105560531525,4.22525815034634,1.44224373733696,0.401714393222331,1.05040223065856,3.59017573390993,4.15397068908485,3.45946037271671,2.01467924361568,2.19856504714993,3.2831538059469,2.16217149744436,3.04550499721864,3.38581656307733,3.50032173605696,3.97945885335626,3.01151177491473,3.40393390328328,2.25026763665497,3.76560466162755,2.39824176837334,3.70623578644745,3.5390805579205,1.68916156998022
AAGAB,5.31248005868382,4.71269577797062,5.29733402148756,4.74301455176108,5.45665827473021,5.69325546126669,5.55076059281586,5.64323468853092,5.08273978685562,5.70578377943829,5.49970000469223,4.82678013771648,4.81499289813162,5.4497023804855,5.56417162371652,4.37378312702836,6.05163505363872,5.75473731939884,5.13077712288456,5.52115684721226,5.62190965014089,6.13017755948149,5.45347773362105,5.36286416741314,5.07090674759399,5.17852051879717,4.77571371584613,5.4360140413513,5.15745098991974,4.81444326588892,6.6257717399397,5.84637461246026,5.90627209044505,5.90086426938757,5.6446258667613,6.14460500389076,4.99180301536561,5.39681984781149,5.83933754832286,4.42079701453394,5.2414341293778,5.03076141066026,5.67986796253369,5.33565580126799,5.74557550658759,5.24353020513179,5.53150291609218,5.26252506456898,5.09706073013531,6.10341499984026,5.55245512971377,5.59441095108535,4.96968141375753,6.21875280301702,5.03257006617871,4.93829794080178,5.11177478114424,5.05263188516795,4.24473853015145,4.40228214879848,5.76196517319248,5.23138996941803,5.69967890731167,4.99543497222064,4.84795153479301,5.23089789973434,4.75394597036697,5.69260078250819,5.63893119169686,4.80801077932469,5.33069061669699,5.28687458626227,4.72222586162764,5.33411286823861,5.34236006748468,6.0013119536244,4.8624554037772,5.98090968699349,5.3784122527813,4.71597764584037,5.7389721185945,5.44054121028041,5.10672559233679,5.28664783368761,5.07685004194734,5.2636400008534,6.66336029661682,5.76214516060133,5.44164334169225,5.00069870625266,5.67968606366868,5.72137394865197,4.90630994365209,4.65268137001179,5.1401923122132,5.15374221758658,5.67488895731319,5.55127877502765,5.51460672034692,4.5222765657387,4.99141146841959,5.71943028164805,5.70261955072948,4.89221585802457,5.85127678722577,4.66421297413734,4.973212537337,5.63443304794824,3.97950292094293,5.22478792520452,5.66993832991345,5.37483212112124,5.19314502410821,4.46141006798926,5.13706212803828,5.1744869936654,5.26620397184959,5.60304364687292,5.72465148000284,6.28857712442858
AAK1,3.05773636478244,3.25815118902157,3.08996041862209,2.95471132209768,2.41881008055985,3.03153135490366,4.75558568660846,3.82531444738659,2.53355724370282,3.96228951270901,3.44563267245041,2.82259286274076,4.09753311585932,3.12286966884932,2.90861140124349,2.1416683751558,3.66172902777375,3.59261391681052,3.07422663251867,3.48861556690656,2.99135056939522,3.72444540899306,4.31778424784425,3.42058829429081,2.50313347141461,3.78785166366624,2.84026145407928,3.22194739014894,3.11189677355102,2.99841184750927,3.94687407680062,3.38814362553174,2.7821777157506,3.76798987672107,2.83465847596623,3.29697555698878,3.94884671936454,3.02293809831859,3.24201602280883,3.25497647088533,3.3413082025056,3.44428918511816,3.29349666415514,3.1593156420793,3.12922067936176,4.15172195877009,2.8030503344246,2.8017347486896,3.25619974594459,2.85386825320978,2.39807942119714,3.47982152403466,2.77037589367716,2.89408378740726,3.92034239329634,3.24136444980221,2.85725826296176,4.47899512582624,2.50235085832184,2.33883804259773,3.35932864415479,2.80135172967272,2.72373546644472,2.17253099573893,2.25857399691105,2.88573964262365,2.76223473168673,3.46696519826068,2.93776926174236,2.63731268950028,2.33532975122495,3.25248049337655,2.73611418093575,2.05988142998102,2.80922373139355,2.36797326019999,3.16431932460473,3.7317046681178,3.06772065831295,1.79789750744526,1.74338618615822,2.67913025816031,3.85087893802836,2.36830619747033,3.63292045427841,2.81126869157545,3.91819187029986,3.1157463721219,3.34397228997514,3.59919778141987,3.7312417734422,3.67908837433301,3.45499304881246,4.18163347625163,3.47497286280988,3.5059026759939,3.60686831161137,3.33861009931219,4.24679336988436,2.97279469429927,3.2995171461804,2.46798386871833,3.51024683583139,2.40899330284816,2.30254917807727,2.86412816185529,4.48526601415019,3.65333108865606,3.36228775265306,2.55298509944056,2.10784624327135,2.90511287534456,2.20465075144667,2.35876083752647,2.84136933888318,2.0758852465913,2.54741086328111,2.27791608373204,2.33210029313608,3.27072904735609
